Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/notifiers.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/notifiers.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/notifiers.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusternotifiers,DELETE,com.nokia.eda.notifiers.v1.ClusterNotifierList,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusternotifiers,GET,com.nokia.eda.notifiers.v1.ClusterNotifierList,cluster_notifier_list,true,true,false
/apps/notifiers.eda.nokia.com/v1/clusternotifiers,POST,com.nokia.eda.notifiers.v1.ClusterNotifier,cluster_notifier,true,false,true
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/_deleted,GET,com.nokia.eda.notifiers.v1.ClusterNotifier_DeletedResources,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/{name},DELETE,Status,cluster_notifier,true,false,true
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/{name},GET,com.nokia.eda.notifiers.v1.ClusterNotifier,cluster_notifier,true,true,true
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/{name},PATCH,Patch,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/{name},PUT,com.nokia.eda.notifiers.v1.ClusterNotifier,cluster_notifier,true,false,true
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusternotifiers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusterproviders,DELETE,com.nokia.eda.notifiers.v1.ClusterProviderList,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusterproviders,GET,com.nokia.eda.notifiers.v1.ClusterProviderList,cluster_provider_list,true,true,false
/apps/notifiers.eda.nokia.com/v1/clusterproviders,POST,com.nokia.eda.notifiers.v1.ClusterProvider,cluster_provider,true,false,true
/apps/notifiers.eda.nokia.com/v1/clusterproviders/_deleted,GET,com.nokia.eda.notifiers.v1.ClusterProvider_DeletedResources,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusterproviders/{name},DELETE,Status,cluster_provider,true,false,true
/apps/notifiers.eda.nokia.com/v1/clusterproviders/{name},GET,com.nokia.eda.notifiers.v1.ClusterProvider,cluster_provider,true,true,true
/apps/notifiers.eda.nokia.com/v1/clusterproviders/{name},PATCH,Patch,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusterproviders/{name},PUT,com.nokia.eda.notifiers.v1.ClusterProvider,cluster_provider,true,false,true
/apps/notifiers.eda.nokia.com/v1/clusterproviders/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/notifiers.eda.nokia.com/v1/clusterproviders/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers,DELETE,com.nokia.eda.notifiers.v1.NotifierList,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers,GET,com.nokia.eda.notifiers.v1.NotifierList,notifier_list,true,true,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers,POST,com.nokia.eda.notifiers.v1.Notifier,notifier,true,false,true
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/_deleted,GET,com.nokia.eda.notifiers.v1.Notifier_DeletedResources,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/{name},DELETE,Status,notifier,true,false,true
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/{name},GET,com.nokia.eda.notifiers.v1.Notifier,notifier,true,true,true
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/{name},PATCH,Patch,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/{name},PUT,com.nokia.eda.notifiers.v1.Notifier,notifier,true,false,true
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/notifiers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/providers,DELETE,com.nokia.eda.notifiers.v1.ProviderList,,false,false,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/providers,GET,com.nokia.eda.notifiers.v1.ProviderList,provider_list,true,true,false
/apps/notifiers.eda.nokia.com/v1/namespaces/{namespace}/providers,POST,com.nokia.eda.notifiers.v1.Provider,provider,true,false,true
